Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
3605,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 8:12:40 UTC,Every 1 hour,-23.765662°,28.378985°,(-),10 meters,3 km/h,3.69 Volt,38°C,(-),Y,"[3051,-291,15143]",N,0,Y,0,
3606,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 9:12:07 UTC,Every 1 hour,-23.766885°,28.381852°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[801,-3606,14835]",N,0,Y,1,
3607,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 10:13:06 UTC,Every 1 hour,-23.769803°,28.380082°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[1066,1310,15258]",N,0,N,2,
3608,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 11:13:02 UTC,Every 1 hour,-23.770567°,28.379997°,(-),10 meters,1 km/h,3.69 Volt,41°C,(-),Y,"[2280,948,15142]",N,0,N,4,
3609,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 12:13:29 UTC,Every 1 hour,-23.770328°,28.379578°,(-),<10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[1288,-1219,15288]",N,0,Y,0,
3610,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 13:13:19 UTC,Every 1 hour,-23.770363°,28.379122°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[1593,560,15326]",N,0,N,2,
3611,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 14:14:02 UTC,Every 1 hour,-23.770048°,28.378417°,(-),<10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[1137,-639,15202]",N,0,Y,0,
3612,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 15:13:55 UTC,Every 1 hour,-23.769200°,28.376585°,(-),10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[1688,921,15083]",N,0,Y,0,
3613,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 16:14:40 UTC,Every 1 hour,-23.769880°,28.371458°,(-),10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[1539,-353,14985]",N,0,Y,0,
3614,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 17:15:02 UTC,Every 1 hour,-23.769643°,28.367837°,(-),<10 meters,0 km/h,3.69 Volt,34°C,(-),Y,"[1820,-1033,15350]",N,0,Y,0,
3615,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 18:14:59 UTC,Every 1 hour,-23.769402°,28.369355°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[297,209,15813]",N,0,N,2,
3616,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 19:15:50 UTC,Every 1 hour,-23.769018°,28.369707°,(-),<10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[1699,-854,15142]",N,0,Y,0,
3617,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 20:15:38 UTC,Every 1 hour,-23.768960°,28.369683°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[1889,-2670,15048]",N,0,Y,0,
3618,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 21:16:26 UTC,Every 1 hour,-23.767900°,28.371512°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[-432,3607,15159]",N,0,Y,0,
3619,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 22:16:14 UTC,Every 1 hour,-23.767467°,28.374373°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[783,2135,15551]",N,0,Y,0,
3620,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-24 23:17:02 UTC,Every 1 hour,-23.767200°,28.375917°,(-),<10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[1842,-2192,14963]",N,0,Y,0,
3621,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 0:16:52 UTC,Every 1 hour,-23.767125°,28.376013°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[1190,-2832,15093]",N,0,N,2,
3622,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 1:17:32 UTC,Every 1 hour,-23.767142°,28.375958°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1454,-1543,15020]",N,0,Y,0,
3623,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 2:17:29 UTC,Every 1 hour,-23.766635°,28.377870°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1218,-1788,15177]",N,0,Y,0,
3624,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-25 3:17:48 UTC,Every 1 hour,-23.766573°,28.377828°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[2726,-1093,15055]",N,0,Y,0,
