year,orig_name,population_count,mean_population_count,park_id,wdpa_pid,iso_3,area_km2
2014,Luambe,54,70.3333333333333,Luambe,1100,ZMB,360.532236846815
2014,Kasungu,40,128.833333333333,Kasungu National Park,780,MWI,2374.81644820869
2014,Mana Pools,2984,3659,Mana Pools National Park,555624126,ZWE,2208.34773391122
2014,Moremi,10027,8284.42857142857,Moremi,7449,BWA,4852.88414637046
2014,Chobe,17212,26523.8888888889,Chobe,600,BWA,10561.8634672844
2014,Nxai Pan,891,441,Nxai Pan,601,BWA,2602.74097155435
2014,Makgakgadi,1351,725.714285714286,Makgadikgadi Pans,1224,BWA,4915.68507830921
2014,Vicoria Falls /Zambezi NP,4843,3624.33333333333,Zambezi,2530,ZWE,518.335266985623
2014,Hwange,45846,41553.3333333333,Hwange,1991,ZWE,14776.4896001221
2014,Chizarira,747,2207.6,Chizarira,1105,ZWE,1958.52237883378
2014,Matusadonha,669,1436.66666666667,Matusadona,1107,ZWE,1430.41458263284
2014,Northern Tuli,388,466.142857142857,Northern Tuli,300280,BWA,752.262996069079
2014,Mapungubwe,344,134.857142857143,Mapungupwe National Park,308687,ZAF,153.095810209151
2014,Gonarezhou,11120,9267,Gonarezhou,1104,ZWE,4946.61705661665
2014,Klaserie,657,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2014,Balule,669,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2014,Umbabat,231,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2014,Timbavati,537,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2014,Limpopo,1081,821.5,Limpopo,20295,MOZ,11066.6957165025
2014,Maputo,147,226.6,Maputo,4652,MOZ,1043.9179375715
2014,Pilanesberg,208,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2014,Madikwe,1021,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2015,North Luangwa,4673,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2015,South Luangwa,3302,4105.6,South Luangwa,1086,ZMB,8710.58598316022
2015,Lukusuzi,0,0,Lukusuzi,1091,ZMB,2640.18751199643
2015,Lower Zambezi,973,1225,Lower Zambezi,7962,ZMB,4161.87375306426
2015,Luengwe Luiana,2666,2710.25,Luengue-Luiana National Park,4493,AGO,22568.4588894169
2015,Mavinga,0,0,Mavinga National Park,5081,AGO,42499.258426925
2015,Khaudum,3758,4289.2,Khaudum,17999,NAM,3860.22769399365
2015,Bwabwata,306,238.5,Bwabwata,303692,NAM,6310.33027437211
2015,Kafue,4813,2930.125,Kafue,1085,ZMB,22446.8596605454
2015,Sioma Ngwezi,48,734.333333333333,Sioma Ngwezi,1087,ZMB,4503.10814034236
2015,Kruger,17086,13544,Kruger National Park,873,ZAF,19254.930289525
2015,Klaserie,1255,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2015,Balule,638,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2015,Umbabat,219,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2015,Timbavati,660,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2015,Maputo,172,226.6,Maputo,4652,MOZ,1043.9179375715
2015,Tembe,220,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2015,Pongola,83,74.4,Pongola,,,
2015,Pilanesberg,306,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2015,Madikwe,1006,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2016,Gonarezhou,10715,9267,Gonarezhou,1104,ZWE,4946.61705661665
2016,Maputo,286,226.6,Maputo,4652,MOZ,1043.9179375715
2016,Tembe,220,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2016,Pongola,85,74.4,Pongola,,,
2016,uMkhuze,120,61.6666666666667,uMkhuze,,,
2016,iSimangaliso,102,48,iSimangaliso Wetland Park,198302,ZAF,3228.81320126954
2017,Kruger,19927,13544,Kruger National Park,873,ZAF,19254.930289525
2017,Klaserie,548,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2017,Balule,721,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2017,Umbabat,141,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2017,Timbavati,465,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2018,Kasungu,132,128.833333333333,Kasungu National Park,780,MWI,2374.81644820869
2018,Moremi,8402,8284.42857142857,Moremi,7449,BWA,4852.88414637046
2018,Chobe,15404,26523.8888888889,Chobe,600,BWA,10561.8634672844
2018,Nxai Pan,510,441,Nxai Pan,601,BWA,2602.74097155435
2018,Makgakgadi,1463,725.714285714286,Makgadikgadi Pans,1224,BWA,4915.68507830921
2018,Gonarezhou,10764,9267,Gonarezhou,1104,ZWE,4946.61705661665
2018,Pilanesberg,379,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2018,Madikwe,1226,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2019,Makhuya,81,82.5,Makhuya,,,
2019,Letaba,314,157.5,Letaba Ranch Nature Reserve,555571052,ZAF,250.22099954455
2019,Klaserie,663,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2019,Umbabat,159,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2019,Timbavati,795,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2019,Manyeleti,521,222.2,Manyeleti Nature Reserve,9072,ZAF,215.326576081667
2020,Chizarira,528,2207.6,Chizarira,1105,ZWE,1958.52237883378
2020,Pilanesberg,373,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2020,Madikwe,1498,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2021,Kasungu,81,128.833333333333,Kasungu National Park,780,MWI,2374.81644820869
2021,Gonarezhou,9215,9267,Gonarezhou,1104,ZWE,4946.61705661665
2022,Kasungu,345,128.833333333333,Kasungu National Park,780,MWI,2374.81644820869
2022,Luengwe Luiana,5982,2710.25,Luengue-Luiana National Park,4493,AGO,22568.4588894169
2022,Mavinga,0,0,Mavinga National Park,5081,AGO,42499.258426925
2022,Khaudum,8745,4289.2,Khaudum,17999,NAM,3860.22769399365
2022,Kafue,3840,2930.125,Kafue,1085,ZMB,22446.8596605454
2022,Sioma Ngwezi,552,734.333333333333,Sioma Ngwezi,1087,ZMB,4503.10814034236
2022,Chizarira,1681,2207.6,Chizarira,1105,ZWE,1958.52237883378
2022,Gonarezhou,10812,9267,Gonarezhou,1104,ZWE,4946.61705661665
2015,Kaingo,21,26,Kaingo Private Game Reserve,555570917,ZAF,173.66993019062
2017,Kaingo,22,26,Kaingo Private Game Reserve,555570917,ZAF,173.66993019062
2018,Kaingo,31,26,Kaingo Private Game Reserve,555570917,ZAF,173.66993019062
2021,Kaingo,29,26,Kaingo Private Game Reserve,555570917,ZAF,173.66993019062
2023,Kaingo,27,26,Kaingo Private Game Reserve,555570917,ZAF,173.66993019062
2010,Lapalala,0,14.8333333333333,Lapalala Nature Reserve,555571113,ZAF,411.807244342737
2016,Lapalala,0,14.8333333333333,Lapalala Nature Reserve,555571113,ZAF,411.807244342737
2017,Lapalala,11,14.8333333333333,Lapalala Nature Reserve,555571113,ZAF,411.807244342737
2018,Lapalala,20,14.8333333333333,Lapalala Nature Reserve,555571113,ZAF,411.807244342737
2020,Lapalala,27,14.8333333333333,Lapalala Nature Reserve,555571113,ZAF,411.807244342737
2025,Lapalala,31,14.8333333333333,Lapalala Nature Reserve,555571113,ZAF,411.807244342737
2001,Ithala,65,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780545
2002,Ithala,70,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780545
2003,Ithala,81,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780545
2004,Ithala,79,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780545
2005,Ithala,86,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780545
