term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,sum_loglik,n,generic_r2,log_cpo_approx,clean_response,clean_term
local_density_km2_scaled:percent_population_growth_scaled,-0.0751042501705924,0.015072847725397,-0.104646488856827,-0.0455620114843578,negative,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0557988718937644,0.0132586257694534,0.0298124429011411,0.0817853008863877,positive,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.112918503608668,0.0167633432640056,0.0800629545507352,0.145774052666601,positive,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.186259797688832,0.0275278114513134,-0.240213316706616,-0.132306278671049,negative,6,150,4046,172784.035600537,TRUE,tree_cover_1000m_coef,-83350.2710728645,75464,0.185138746565206,-1.10450375109807,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.388298838165694,0.0945004997998829,0.203081262036889,0.573516414294499,positive,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.158812739217518,0.0239387293599521,0.11189369183636,0.205731786598676,positive,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0278304648677566,0.0391459047061012,-0.0488940984984387,0.104555028233952,non-significant,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.0481691952334802,0.0288536873073819,-0.104721383177129,0.00838299271016883,non-significant,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.111911867073979,0.012351601731047,-0.136120561618214,-0.0877031725297444,negative,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.296860811278143,0.0524992441833739,-0.399757439093129,-0.193964183463156,negative,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.256053742891037,0.0502729933486002,-0.354586999249315,-0.157520486532759,negative,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.00290200473122999,0.0324863481315453,-0.0607700675958288,0.0665740770582887,non-significant,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.0751049631405179,0.0150731258175821,-0.10464774687742,-0.0455621794036161,negative,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0558217980084864,0.0132587040260413,0.0298352156357692,0.0818083803812036,positive,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.112911783367507,0.0167633494775622,0.0800562221312263,0.145767344603787,positive,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.186378201695876,0.0275330852026229,-0.24034205707629,-0.132414346315463,negative,6,100,4312,172784.802621855,TRUE,tree_cover_1000m_coef,-83350.6321737905,75464,0.185355980143623,-1.10450853617341,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.387187392498042,0.0962716178183982,0.198498488840577,0.575876296155507,positive,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.158675071443131,0.0239646343274886,0.111705251258581,0.205644891627681,positive,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.027076323979955,0.0393037719827797,-0.0499576535628676,0.104110301522778,non-significant,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.0497535475689075,0.0288982882810571,-0.106393151814635,0.00688605667682039,non-significant,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.111914832323026,0.0123536402194665,-0.136127522231146,-0.0877021424149065,negative,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.292451272245789,0.0526647708951924,-0.39567232645442,-0.189230218037159,negative,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.256397269384859,0.0503776045944109,-0.355135560017304,-0.157658978752414,negative,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.000870047336593836,0.0326792740281023,-0.0631801527994019,0.0649202474725896,non-significant,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.0756575486230156,0.0151083611663018,-0.105269392374391,-0.0460457048716406,negative,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0557682432982681,0.0132744906332097,0.0297507197440628,0.0817857668524734,positive,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.112915246460907,0.0167674125783485,0.0800517216934195,0.145778771228393,positive,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.184826186342258,0.0276501127248308,-0.239019411451399,-0.130632961233118,negative,6,50,5985,172781.585328767,TRUE,tree_cover_1000m_coef,-83347.4440625487,75464,0.182156403421386,-1.10446628939029,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.273492929238321,0.0619928540754619,0.151989167951569,0.394996690525073,positive,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.19706295098976,0.0240632159764004,0.149899914323806,0.244225987655714,positive,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0181134633276828,0.037975327699079,-0.0563168112636183,0.092543737918984,non-significant,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,0.0336744476985879,0.0284814992775816,-0.0221482651111756,0.0894971605083514,non-significant,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.101954771965397,0.0128596460433276,-0.127159215064252,-0.0767503288665423,negative,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.45480114620019,0.0494215463896406,-0.551665597184161,-0.357936695216218,negative,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.23960878937934,0.0509627424146196,-0.339493929065386,-0.139723649693294,negative,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0785743534440087,0.0285971823268751,0.0225249060240081,0.134623800864009,positive,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.0727893183455331,0.0148161660248988,-0.101828470143301,-0.0437501665477655,negative,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0560524935182931,0.0134358758098822,0.029718660830171,0.0823863262064151,positive,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.136502965514236,0.0173342341027099,0.102528490973339,0.170477440055134,positive,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.256034902060078,0.0255385790293292,-0.306089597173893,-0.205980206946263,negative,4,150,7438,161162.836410616,TRUE,tree_cover_1000m_coef,-76052.8159170511,75464,0.28459205587634,-1.00780260676682,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.273498079630264,0.0619923829533994,0.151995241725787,0.395000917534742,positive,4,100,7699,161162.838393097,TRUE,tree_cover_1000m_coef,-76052.8200787602,75464,0.284593421605571,-1.00780266191509,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.197063303302684,0.0240632054271015,0.149900287312976,0.244226319292392,positive,4,100,7699,161162.838393097,TRUE,tree_cover_1000m_coef,-76052.8200787602,75464,0.284593421605571,-1.00780266191509,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0181136936892421,0.0379751676826102,-0.0563162672755433,0.0925436546540276,non-significant,4,100,7699,161162.838393097,TRUE,tree_cover_1000m_coef,-76052.8200787602,75464,0.284593421605571,-1.00780266191509,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,0.033677619555727,0.028481386974668,-0.0221448731443704,0.0895001122558244,non-significant,4,100,7699,161162.838393097,TRUE,tree_cover_1000m_coef,-76052.8200787602,75464,0.284593421605571,-1.00780266191509,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.101955012711441,0.0128596441503113,-0.127159452100053,-0.0767505733228302,negative,4,100,7699,161162.838393097,TRUE,tree_cover_1000m_coef,-76052.8200787602,75464,0.284593421605571,-1.00780266191509,Woody Cover Trend,Fire frequency
