term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
(Intercept),-0.00250227003331844,0.000816127001436509,-0.00410184956294467,-0.000902690503692216,negative,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000828536524656296,0.000789022112258335,-0.00237499144768835,0.000717918398375759,non-significant,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.000234216124890388,0.000341121216940484,-0.000434369174675435,0.000902801424456212,non-significant,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00107530510758915,0.000427442613338546,0.000237532979987919,0.00191307723519038,positive,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000424843355648894,0.000467001694497005,-0.0013401498575822,0.000490463146284413,non-significant,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.00024317360390641,0.000242743723794576,-0.000718942560016917,0.000232595352204097,non-significant,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000201834199271735,0.000108541575656148,-1.09033798395455e-05,0.000414571778383015,non-significant,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),Fire frequency
burned_area_coef_scaled,0.00031834013018744,8.54994133683936e-05,0.000150764359286086,0.000485915901088794,positive,12,150,1527,-409472.587754245,FALSE,habitat_diversity_100m_coef,2.91046713819564,Habitat Diversity Trend (100m),Burned Area Trend
(Intercept),-0.00249906488182232,0.000817150243224581,-0.00410064992850064,-0.000897479835143993,negative,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),(Intercept)
mean_density_km2_scaled,-0.000829594294377831,0.000789854911374793,-0.0023776814736845,0.000718492884928838,non-significant,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),Mean Elephant Density
density_km2_estimate_scaled,0.00023522380050879,0.000341439518634456,-0.000433985358913437,0.000904432959931017,non-significant,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),Elephant Density Trend
mat_coef_scaled,0.00107360218754809,0.000427510872955082,0.00023569627355685,0.00191150810153933,positive,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),MAT Trend
prec_coef_scaled,-0.000422441190068883,0.000466726489146999,-0.00133720829942782,0.000492325919290058,non-significant,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),Precipitation Trend
n_deposition_scaled,-0.000247591225813766,0.000242698739130303,-0.000723272013602443,0.00022808956197491,non-significant,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),Nitrogen deposition
fire_frequency_scaled,0.000202002577821848,0.000108548662109066,-1.07488904819282e-05,0.000414754046125624,non-significant,12,100,1800,-409472.74539031,FALSE,habitat_diversity_100m_coef,2.9104678118124,Habitat Diversity Trend (100m),Fire frequency
