term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
(Intercept),0.726160816054658,0.75530119827143,-0.754202330037291,2.20652396214661,non-significant,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.182738531911502,0.0796276569504667,0.0266711921152768,0.338805871707727,positive,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0582237980568035,0.0323291758893977,-0.00514022233627663,0.121587818449884,non-significant,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.219310613875879,0.0234168139552904,-0.265206725860923,-0.173414501890835,negative,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0567584359098308,0.010772664890342,-0.0778724711124203,-0.0356444007072412,negative,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.00439045412604706,0.0449431654571924,-0.0924774397733687,0.0836965315212746,non-significant,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.0348876504375403,0.0461067496416383,-0.125255219179356,0.0554799183042758,non-significant,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.159325485209321,0.0300858237571184,-0.218292616218493,-0.10035835420015,negative,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.300872797880918,0.0432859704614159,-0.385711741021157,-0.216033854740678,negative,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,-0.00461322257236732,0.0213603208209576,-0.0464786820796653,0.0372522369349306,non-significant,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.150015114590317,0.0143329475206412,0.121923053657558,0.178107175523076,positive,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.049729258109956,0.0236016877004251,-0.095987715977151,-0.00347080024276088,negative,16,150,1109,197086.667451685,TRUE,tree_cover_1000m_coef,-1.2913941726224,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.757863234331603,0.796992877393335,-0.804214101294281,2.31994056995749,non-significant,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.18463521134553,0.0797044357743447,0.0284173878197283,0.340853034871331,positive,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0580239780878601,0.0323509026548214,-0.00538262598295103,0.121430582158671,non-significant,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.219709751976064,0.0234200945036831,-0.265612293717807,-0.173807210234321,negative,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0572415076956453,0.0107736508267355,-0.078357475298057,-0.0361255400932336,negative,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Fire frequency
mat_coef_scaled,-0.00429381869173941,0.0449487945661588,-0.0923918371899004,0.0838041998064216,non-significant,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.0350355980230749,0.0461181952812085,-0.125425599806229,0.0553544037600788,non-significant,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.158292508630073,0.0301713063024854,-0.217427182349471,-0.0991578349106754,negative,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.30042914924216,0.0432966149317241,-0.385288955160839,-0.215569343323482,negative,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,-0.0043389186374514,0.0213599070296621,-0.046203567128713,0.0375257298538102,non-significant,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.149420114348855,0.0143345812492515,0.121324851366859,0.177515377330851,positive,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,-0.0494525102992177,0.0236071448414221,-0.0957216639662256,-0.00318335663220978,negative,16,100,1377,197077.663180725,TRUE,tree_cover_1000m_coef,-1.29128513142037,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),0.806270821664243,0.539002287957389,-0.250154250316927,1.86269589364541,non-significant,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.0800424470453029,0.0800281026084387,-0.0768097518183128,0.236894645908919,non-significant,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0688527313325297,0.0322488592386252,0.00564612868232245,0.132059333982737,positive,16,50,3175,196830.494507983,TRUE,tree_cover_1000m_coef,-1.28973535947245,Woody Cover Trend,Elephant Population Growth
