term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,enerscape_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,enerscape_range,slope_range
evi_mean,0.212254396443957,0.0261678047848446,8.11128018529422,5.00892071544102e-16,EF0245,F,10528,115778,0.160965499065662,0.263543293822252,2332.11328906905,5.57265406031058,14.4149943091525,0.0708793481911724,128.671536914588,1.1110048047322,883.47448730469,13.6312131881714,28.6819114685059,0.51198823750019,390.289131164551,8.68226814270019
distance_to_water_km,-0.360856942345407,0.0901957234211856,-4.00082097751263,6.31231008929778e-05,EF0245,F,10528,115778,-0.53764056025093,-0.184073324439883,2332.11328906905,5.57265406031058,14.4149943091525,0.0708793481911724,128.671536914588,1.1110048047322,883.47448730469,13.6312131881714,28.6819114685059,0.51198823750019,390.289131164551,8.68226814270019
distance_to_settlement_km,0.198261151596554,0.149277523683412,1.32813799897315,0.184132522254668,EF0245,F,10528,115778,-0.0943227948229329,0.490845098016041,2332.11328906905,5.57265406031058,14.4149943091525,0.0708793481911724,128.671536914588,1.1110048047322,883.47448730469,13.6312131881714,28.6819114685059,0.51198823750019,390.289131164551,8.68226814270019
human_modification,-0.0366371295138373,0.027876521534749,-1.31426474670335,0.188757126421331,EF0245,F,10528,115778,-0.0912751117219453,0.0180008526942707,2332.11328906905,5.57265406031058,14.4149943091525,0.0708793481911724,128.671536914588,1.1110048047322,883.47448730469,13.6312131881714,28.6819114685059,0.51198823750019,390.289131164551,8.68226814270019
enerscape,-0.0139622617374375,0.0104673366938195,-1.33388866202055,0.182240347884275,EF0245,F,10528,115778,-0.0344782416573236,0.00655371818244865,2332.11328906905,5.57265406031058,14.4149943091525,0.0708793481911724,128.671536914588,1.1110048047322,883.47448730469,13.6312131881714,28.6819114685059,0.51198823750019,390.289131164551,8.68226814270019
slope,-0.120795523250104,0.0127986788396119,-9.43812441611094,3.79511560019697e-21,EF0245,F,10528,115778,-0.145880933775743,-0.0957101127244644,2332.11328906905,5.57265406031058,14.4149943091525,0.0708793481911724,128.671536914588,1.1110048047322,883.47448730469,13.6312131881714,28.6819114685059,0.51198823750019,390.289131164551,8.68226814270019
evi_mean,-0.202107852893045,0.0187299856540121,-10.7906037210313,3.81276558616966e-27,ele26,F,15733,172933,-0.238818624774909,-0.165397081011181,2861.56631479592,5.8028124084518,39.397117655599,0.129405015089365,128.003254181201,0.546082255633952,1489.92700195313,30.8023471832275,42.0723915100098,0.546608239412308,118.685066223145,6.66870602872223
distance_to_water_km,-0.300648837848346,0.116900993212919,-2.57182449511575,0.0101164161159236,ele26,F,15733,172933,-0.529774784545668,-0.0715228911510241,2861.56631479592,5.8028124084518,39.397117655599,0.129405015089365,128.003254181201,0.546082255633952,1489.92700195313,30.8023471832275,42.0723915100098,0.546608239412308,118.685066223145,6.66870602872223
distance_to_settlement_km,0.927830973286617,0.11696590697938,7.93249073381855,2.14793749979579e-15,ele26,F,15733,172933,0.698577795607032,1.1570841509662,2861.56631479592,5.8028124084518,39.397117655599,0.129405015089365,128.003254181201,0.546082255633952,1489.92700195313,30.8023471832275,42.0723915100098,0.546608239412308,118.685066223145,6.66870602872223
human_modification,0.0055091098292388,0.0190629038064953,0.288996360951142,0.772584162341954,ele26,F,15733,172933,-0.0318541816314919,0.0428724012899695,2861.56631479592,5.8028124084518,39.397117655599,0.129405015089365,128.003254181201,0.546082255633952,1489.92700195313,30.8023471832275,42.0723915100098,0.546608239412308,118.685066223145,6.66870602872223
enerscape,-0.0276132928892947,0.00843488331805299,-3.27370182231147,0.00106148557529481,ele26,F,15733,172933,-0.0441456641926786,-0.0110809215859108,2861.56631479592,5.8028124084518,39.397117655599,0.129405015089365,128.003254181201,0.546082255633952,1489.92700195313,30.8023471832275,42.0723915100098,0.546608239412308,118.685066223145,6.66870602872223
slope,0.0349079150252879,0.0108452109932169,3.21874005467675,0.00128755148096762,ele26,F,15733,172933,0.0136513014785828,0.0561645285719931,2861.56631479592,5.8028124084518,39.397117655599,0.129405015089365,128.003254181201,0.546082255633952,1489.92700195313,30.8023471832275,42.0723915100098,0.546608239412308,118.685066223145,6.66870602872223
evi_mean,-0.239562730786118,0.017495114358602,-13.6931217410608,1.11609213634769e-42,ele31,F,21232,233472,-0.273853154928978,-0.205272306643258,2842.68492780129,6.25828390708835,35.3022232871919,0.157436719452466,128.004300262027,0.51184184994751,1481.88610839844,28.9615345001221,49.7279357910156,0.56699201464653,90.0380401611327,5.07820167182944
distance_to_water_km,-0.441807778633516,0.0776636403432463,-5.68873383581918,1.27984769588018e-08,ele31,F,21232,233472,-0.594028513706279,-0.289587043560754,2842.68492780129,6.25828390708835,35.3022232871919,0.157436719452466,128.004300262027,0.51184184994751,1481.88610839844,28.9615345001221,49.7279357910156,0.56699201464653,90.0380401611327,5.07820167182944
distance_to_settlement_km,-0.0544945203640967,0.117834310856833,-0.462467340521104,0.643746217827553,ele31,F,21232,233472,-0.285449769643489,0.176460728915296,2842.68492780129,6.25828390708835,35.3022232871919,0.157436719452466,128.004300262027,0.51184184994751,1481.88610839844,28.9615345001221,49.7279357910156,0.56699201464653,90.0380401611327,5.07820167182944
human_modification,-0.00416145043234039,0.0143505423818361,-0.289985585325866,0.771827265271069,ele31,F,21232,233472,-0.0322885135007392,0.0239656126360584,2842.68492780129,6.25828390708835,35.3022232871919,0.157436719452466,128.004300262027,0.51184184994751,1481.88610839844,28.9615345001221,49.7279357910156,0.56699201464653,90.0380401611327,5.07820167182944
enerscape,-0.00622581898560293,0.00726047860529535,-0.857494295357086,0.391171766185311,ele31,F,21232,233472,-0.0204563570519818,0.00800471908077594,2842.68492780129,6.25828390708835,35.3022232871919,0.157436719452466,128.004300262027,0.51184184994751,1481.88610839844,28.9615345001221,49.7279357910156,0.56699201464653,90.0380401611327,5.07820167182944
slope,0.000782255795545853,0.00899466018102733,0.0869689104204165,0.930696224337044,ele31,F,21232,233472,-0.0168472781592677,0.0184117897503594,2842.68492780129,6.25828390708835,35.3022232871919,0.157436719452466,128.004300262027,0.51184184994751,1481.88610839844,28.9615345001221,49.7279357910156,0.56699201464653,90.0380401611327,5.07820167182944
evi_mean,-0.108982897767275,0.0189245154437477,-5.75882104306561,8.47034431859081e-09,ele25,F,19549,214939,-0.14607494803702,-0.071890847497529,2731.19057962671,5.09119728014366,32.6089262428121,0.117173671197534,128.098440229166,0.578772727276022,1630.67553710938,16.0849361419678,45.3000233173371,0.546608239412308,95.0272903442386,5.85937505669426
distance_to_water_km,-0.515056385854247,0.0652381500532308,-7.89501825900932,2.90272739233525e-15,ele25,F,19549,214939,-0.64292315995858,-0.387189611749915,2731.19057962671,5.09119728014366,32.6089262428121,0.117173671197534,128.098440229166,0.578772727276022,1630.67553710938,16.0849361419678,45.3000233173371,0.546608239412308,95.0272903442386,5.85937505669426
